Accession,Platform,SeqClass,Species,Cells,PMID,Date,Title
GSE109535,Nextera XT,shortread,Mouse;Human,24733,30462277,11/22/18,"Scftd-Seq: Freeze-Thaw Lysis Based, Portable Approach Toward Highly Distributed Single-Cell 3' Mrna Profiling."
GSE109564,InDrops,shortread,Human,3893,29980650,7/8/18,Single-Cell Transcriptomics Of A Human Kidney Allograft Biopsy Specimen Defines A Diverse Inflammatory Response.
GSE109726,CEL-seq,shortread,Mouse,174,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE109774,Smart-Seq,longread,Mouse,41952,30283141,10/5/18,Single-Cell Transcriptomics Of 20 Mouse Organs Creates A Tabula Muris.
GSE109816,Nextera XT,shortread,Human,193,31915373,1/10/20,Single-Cell Reconstruction Of The Adult Human Heart During Heart Failure And Recovery Reveals The Cellular Landscape Underlying Cardiac Function.
GSE109822,Nextera XT,longread,Mouse;Human,175,29391249,2/3/18,Spatial And Single-Cell Transcriptional Profiling Identifies Functionally Distinct Human Dermal Fibroblast Subpopulations.
GSE109999,CEL-seq,shortread,Mouse,364,30096152,8/11/18,Scpipe: A Flexible R/Bioconductor Preprocessing Pipeline For Single-Cell Rna-Sequencing Data.
GSE110010,Drop-seq,shortread,Unknown,9026,29643508,4/13/18,Aspm Knockout Ferret Reveals An Evolutionary Mechanism Governing Cerebral Cortical Size.
GSE110265,Smart-Seq,longread,Mouse,122,30128894,8/22/18,Dgcr8 Deletion In The Primitive Heart Uncovered Novel Microrna Regulating The Balance Of Cardiac-Vascular Gene Program.
GSE110357,Smart-Seq,longread,Mouse,340,29670281,4/20/18,Identification Of The Tumour Transition States Occurring During Emt.
GSE110371,Fluidigm,longread,Mouse,219,29666189,4/19/18,Single-Cell Rna-Seq Reveals Cell Heterogeneity And Hierarchy Within Mouse Mammary Epithelia.
GSE110499,Fluidigm,longread,Human,145,29898899,6/15/18,Linking Transcriptional And Genetic Tumor Heterogeneity Through Allele Analysis Of Single-Cell Rna-Seq Data.
GSE110513,Smart-Seq,longread,Mouse;Human,15310,29608179,4/3/18,"Integrating Single-Cell Transcriptomic Data Across Different Conditions, Technologies, And Species."
GSE110547,InDrops,shortread,Mouse,1936,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE110558,InDrops,shortread,Mouse,2853,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE110568,InDrops,shortread,Mouse,2030,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE110679,InDrops,shortread,Mouse,5744,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE110686,10X Genomics,shortread,Human,5708,29942092,6/27/18,Single-Cell Profiling Of Breast Cancer T Cells Reveals A Tissue-Resident Memory Subset Associated With Improved Prognosis.
GSE110688,InDrops,shortread,Mouse,967,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE110692,InDrops,shortread,Mouse,4568,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE110746,10X Genomics,shortread,Mouse,8345,30559380,12/19/18,Loss Of Adar1 In Tumours Overcomes Resistance To Immune Checkpoint Blockade.
GSE110894,CEL-seq,shortread,Mouse,1319,31222014,6/22/19,Targeting Enhancer Switching Overcomes Non-Genetic Drug Resistance In Acute Myeloid Leukaemia.
GSE111014,10X Genomics,shortread,Human,28207,31996669,1/31/20,Chromatin Mapping And Single-Cell Immune Profiling Define The Temporal Dynamics Of Ibrutinib Response In Cll.
GSE111027,Smart-Seq,longread,Mouse,622,30487586,11/30/18,Single-Cell Rna Sequencing Unveils An Il-10-Producing Helper Subset That Sustains Humoral Immunity During Persistent Infection.
GSE111070,10X Genomics,shortread,Mouse,2268,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE111108,10X Genomics,shortread,Human,3784,30096152,8/11/18,Scpipe: A Flexible R/Bioconductor Preprocessing Pipeline For Single-Cell Rna-Sequencing Data.
GSE111113,10X Genomics,shortread,Mouse,31727,30089273,8/9/18,Single-Cell Transcriptomes Distinguish Stem Cell State Changes And Lineage Specification Programs In Early Mammary Gland Development.
GSE111229,Smart-Seq,longread,Mouse,702,30514914,12/6/18,Spatially And Functionally Distinct Subclasses Of Breast Cancer-Associated Fibroblasts Revealed By Single Cell Rna Sequencing.
GSE111360,10X Genomics,shortread,Mouse;Human,21693,30550791,12/15/18,Organoid Modeling Of The Tumor Immune Microenvironment.
GSE111402,10X Genomics,shortread,Mouse,3123,30357357,10/26/18,Single-Cell Stabilization Method Identifies Gonadotrope Transcriptional Dynamics And Pituitary Cell Type Heterogeneity.
GSE111461,Fluidigm,longread,Mouse,51,30357357,10/26/18,Single-Cell Stabilization Method Identifies Gonadotrope Transcriptional Dynamics And Pituitary Cell Type Heterogeneity.
GSE111588,10X Genomics,shortread,Mouse,1291,30265241,9/29/18,Identification Of Functionally Distinct Fibro-Inflammatory And Adipogenic Stromal Subpopulations In Visceral Adipose Tissue Of Adult Mice.
GSE111672,InDrops,shortread,Human,5893,31932730,1/15/20,Integrating Microarray-Based Spatial Transcriptomics And Single-Cell Rna-Seq Reveals Tissue Architecture In Pancreatic Ductal Adenocarcinomas.
GSE111860,Fluidigm,longread,Human,444,30108108,8/16/18,Induced Pluripotent Stem Cell-Based Mapping Of Β-Globin Expression Throughout Human Erythropoietic Development.
GSE111892,Smart-Seq,longread,Human,122,31227543,6/23/19,Single-Cell Transcriptomic Analysis Of Tissue-Resident Memory T Cells In Human Lung Cancer.
GSE111896,10X Genomics,shortread,Human,11681,31227543,6/23/19,Single-Cell Transcriptomic Analysis Of Tissue-Resident Memory T Cells In Human Lung Cancer.
GSE111901,InDrops,shortread,Human,1624,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE111976,Fluidigm,longread,Human,68384,32929266,9/16/20,Single-Cell Transcriptomic Atlas Of The Human Endometrium During The Menstrual Cycle.
GSE112008,KAPA Hyper Prep Kit,shortread,Mouse,543,30218073,9/16/18,Med23 Serves As A Gatekeeper Of The Myeloid Potential Of Hematopoietic Stem Cells.
GSE112013,10X Genomics,shortread,Human,6228,30315278,10/14/18,The Adult Human Testis Transcriptional Cell Atlas.
GSE112177,Clontech SMRTr,shortread,Mouse,64,29970990,7/5/18,A Guide To Single-Cell Transcriptomics In Adult Rodent Brain: The Medium Spiny Neuron Transcriptome Revisited.
GSE112271,10X Genomics,shortread,Human,59517,31941899,1/17/20,Intratumoral Heterogeneity And Clonal Evolution In Liver Cancer.
GSE112417,TruSeq,shortread,Mouse;Human,352,29871976,6/7/18,Histone Variant H2A.Z Is Required For The Maintenance Of Smooth Muscle Cell Identity As Revealed By Single-Cell Transcriptomics.
GSE112507,Fluidigm,longread,Mouse;Human,86,30681766,1/27/19,Crx Expression In Pluripotent Stem Cell-Derived Photoreceptors Marks A Transplantable Subpopulation Of Early Cones.
GSE112692,Fluidigm,longread,Human,334,30463007,11/22/18,The Molecular Signature Of Megakaryocyte-Erythroid Progenitors Reveals A Role For The Cell Cycle In Fate Specification.
GSE112865,10X Genomics,shortread,Mouse,4230,30613266,1/8/19,Arg1 Expression Defines Immunosuppressive Subsets Of Tumor-Associated Macrophages.
GSE112903,10X Genomics,shortread,Mouse,13533,29752062,5/13/18,Single-Cell Rna Sequencing Of Lymph Node Stromal Cells Reveals Niche-Associated Heterogeneity.
GSE113046,Smart-Seq,longread,Mouse;Human,276,31126997,5/28/19,Identification Of Two Distinct Pathways Of Human Myelopoiesis.
GSE113049,10X Genomics,shortread,Mouse,10093,30913038,3/27/19,Single Cell Rna Sequencing Identifies Tgfβ As A Key Regenerative Cue Following Lps-Induced Lung Injury.
GSE113074,InDrops,shortread,Zebrafish;Frog,130007,29700227,4/28/18,The Dynamics Of Gene Expression In Vertebrate Embryogenesis At Single-Cell Resolution.
GSE113099,Fluidigm,longread,Human,173,29795293,5/26/18,Profiling Human Breast Epithelial Cells Using Single Cell Rna Sequencing Identifies Cell Diversity.
GSE113127,Fluidigm,longread,Human,88,29795293,5/26/18,Profiling Human Breast Epithelial Cells Using Single Cell Rna Sequencing Identifies Cell Diversity.
GSE113196,10X Genomics,shortread,Human,3847,29795293,5/26/18,Profiling Human Breast Epithelial Cells Using Single Cell Rna Sequencing Identifies Cell Diversity.
GSE113198,Fluidigm,longread,Human,122,29795293,5/26/18,Profiling Human Breast Epithelial Cells Using Single Cell Rna Sequencing Identifies Cell Diversity.
GSE113415,Fluidigm,longread,Human,183,32699019,7/24/20,Parallel Bimodal Single-Cell Sequencing Of Transcriptome And Chromatin Accessibility.
GSE113417,Fluidigm,longread,Mouse,175,32699019,7/24/20,Parallel Bimodal Single-Cell Sequencing Of Transcriptome And Chromatin Accessibility.
GSE113576,10X Genomics,shortread,Mouse,30337,30385464,11/6/18,"Molecular, Spatial, And Functional Single-Cell Profiling Of The Hypothalamic Preoptic Region."
GSE113616,Nextera XT,shortread,Human,154,31155233,6/4/19,Stromal Microenvironment Shapes The Intratumoral Architecture Of Pancreatic Cancer.
GSE113807,Smart-Seq,longread,Mouse,307,29899446,6/15/18,Induction And Transcriptional Regulation Of The Co-Inhibitory Gene Module In T Cells.
GSE113854,10X Genomics,shortread,Mouse,21687,30737373,2/10/19,Single-Cell Analysis Reveals Fibroblast Heterogeneity And Myeloid-Derived Adipocyte Progenitors In Murine Skin Wounds.
GSE113973,Smart-Seq,longread,Mouse;Human,1707,30420755,11/14/18,Disease-Specific Oligodendrocyte Lineage Cells Arise In Multiple Sclerosis.
GSE114156,InDrops,shortread,Human,4067,29980650,7/8/18,Single-Cell Transcriptomics Of A Human Kidney Allograft Biopsy Specimen Defines A Diverse Inflammatory Response.
GSE114157,Smart-Seq,longread,Mouse,119,30865901,3/14/19,Insights Into The Biology Of Hearing And Deafness Revealed By Single-Cell Rna Sequencing.
GSE114161,CEL-seq,shortread,Human,270,30127440,8/22/18,Single-Cell Analysis Reveals That Stochasticity And Paracrine Signaling Control Interferon-Alpha Production By Plasmacytoid Dendritic Cells.
GSE114396,10X Genomics,shortread,Human,3993,31263279,7/3/19,C-Kit-Positive Ilc2S Exhibit An Ilc3-Like Signature That May Contribute To Il-17-Mediated Pathologies.
GSE114446,TruSeq,shortread,Human,31,32362655,5/5/20,Integrated Single-Cell And Bulk Gene Expression And Atac-Seq Reveals Heterogeneity And Early Changes In Pathways Associated With Resistance To Cetuximab In Hnscc-Sensitive Cell Lines.
GSE114530,10X Genomics,shortread,Human,23953,30789893,2/23/19,Single-Cell Transcriptomics Reveals Gene Expression Dynamics Of Human Fetal Kidney Development.
GSE114687,10X Genomics,shortread,Human,69657,31477929,9/4/19,A Pooled Single-Cell Genetic Screen Identifies Regulatory Checkpoints In The Continuum Of The Epithelial-To-Mesenchymal Transition.
GSE114704,Fluidigm,longread,Mouse;Human,64,32499301,6/6/20,Discovery Of New Targets To Control Metastasis In Pancreatic Cancer By Single-Cell Transcriptomics Analysis Of Circulating Tumor Cells.
GSE114727,10X Genomics,shortread,Human,26735,29961579,7/3/18,Single-Cell Map Of Diverse Immune Phenotypes In The Breast Tumor Microenvironment.
GSE114793,10X Genomics,shortread,Mouse,3299,29899037,6/15/18,Dissection Of Progenitor Compartments Resolves Developmental Trajectories In B-Lymphopoiesis.
GSE114822,Unknown,shortread,Mouse;Human,208,30560925,12/19/18,"Integrative Single-Cell Analysis Of Transcriptome, Dna Methylome And Chromatin Accessibility In Mouse Oocytes."
GSE114986,10X Genomics,shortread,Drosphilia,5492,31566561,10/1/19,"Coopted Temporal Patterning Governs Cellular Hierarchy, Heterogeneity And Metabolism In "
GSE114997,Smart-Seq,longread,Mouse,210,30078709,8/7/18,Sensory Neuron Diversity In The Inner Ear Is Shaped By Activity.
GSE115006,10X Genomics,shortread,Human,7922,29967419,7/4/18,Human In Vivo-Generated Monocyte-Derived Dendritic Cells And Macrophages Cross-Present Antigens Through A Vacuolar Pathway.
GSE115007,10X Genomics,shortread,Human,5737,29967419,7/4/18,Human In Vivo-Generated Monocyte-Derived Dendritic Cells And Macrophages Cross-Present Antigens Through A Vacuolar Pathway.
GSE115125,InDrops,shortread,Mouse,1535,29434354,2/13/18,Single-Cell Gene Expression Reveals A Landscape Of Regulatory T Cell Phenotypes Shaped By The Tcr.
GSE115149,10X Genomics,shortread,Human,4774,30679801,1/27/19,Inflammation-Induced Glycolytic Switch Controls Suppressivity Of Mesenchymal Stem Cells Via Stat1 Glycosylation.
GSE115189,10X Genomics,shortread,Human,3144,30228881,1/5/19,Comparison Of Clustering Tools In R For Medium-Sized 10X Genomics Single-Cell Rna-Sequencing Data.
GSE115214,Smart-Seq,longread,Human,264,30827679,3/5/19,Lineage Tracing In Humans Enabled By Mitochondrial Mutations And Single-Cell Genomics.
GSE115280,Drop-seq,shortread,Unknown,177,30143032,8/26/18,Comparative Transcriptomic Analyses And Single-Cell Rna Sequencing Of The Freshwater Planarian Schmidtea Mediterranea Identify Major Cell Types And Pathway Conservation.
GSE115469,10X Genomics,shortread,Human,8138,30348985,10/24/18,Single Cell Rna Sequencing Of Human Liver Reveals Distinct Intrahepatic Macrophage Populations.
GSE115600,10X Genomics,shortread,Mouse,3808,30827680,3/5/19,Quiescence Modulates Stem Cell Maintenance And Regenerative Capacity In The Aging Brain.
GSE115622,Nextera XT,longread,Mouse,119,30827680,3/5/19,Quiescence Modulates Stem Cell Maintenance And Regenerative Capacity In The Aging Brain.
GSE115861,CEL-seq2,shortread,Human,31,30728416,2/8/19,Combined Quantification Of Intracellular (Phospho-)Proteins And Transcriptomics From Fixed Single Cells.
GSE115934,Fluidigm,longread,Mouse,106,30455179,11/21/18,Characterization Of Spatial And Temporal Development Of Type I And Type Ii Hair Cells In The Mouse Utricle Using New Cell-Type-Specific Markers.
GSE115943,10X Genomics,shortread,Mouse,209264,30712874,2/5/19,Optimal-Transport Analysis Of Single-Cell Gene Expression Identifies Developmental Trajectories In Reprogramming.
GSE115978,Smart-Seq,longread,Mouse;Human,6902,30388455,11/6/18,A Cancer Cell Program Promotes T Cell Exclusion And Resistance To Checkpoint Blockade.
GSE115997,Smart-Seq,longread,Mouse,61,32350740,5/1/20,Integrative Analysis Of In Vivo Recording With Single-Cell Rna-Seq Data Reveals Molecular Properties Of Light-Sensitive Neurons In Mouse V1.
GSE116106,10X Genomics,shortread,Mouse;Human,39004,32386599,5/11/20,Single-Cell Analysis Of Human Retina Identifies Evolutionarily Conserved And Species-Specific Mechanisms Controlling Development.
GSE116113,10X Genomics,shortread,Human,6984,30361550,10/27/18,Expansion And Differentiation Of Human Hepatocyte-Derived Liver Progenitor-Like Cells And Their Use For The Study Of Hepatotropic Pathogens.
GSE116222,10X Genomics,shortread,Human,7017,30814735,3/1/19,Colonic Epithelial Cell Diversity In Health And Inflammatory Bowel Disease.
GSE116256,Seq-Well,shortread,Human,36321,30827681,3/5/19,Single-Cell Rna-Seq Reveals Aml Hierarchies Relevant To Disease Progression And Immunity.
GSE116481,10X Genomics,shortread,Human,3583,30420752,11/14/18,Venetoclax With Azacitidine Disrupts Energy Metabolism And Targets Leukemia Stem Cells In Patients With Acute Myeloid Leukemia.
GSE116530,Smart-Seq,longread,Mouse,2605,32367048,5/6/20,Differentiation Of Transplanted Haematopoietic Stem Cells Tracked By Single-Cell Transcriptomic Analysis.
GSE116555,10X Genomics,shortread,Human,4958,29986945,7/11/18,Large-Scale Single-Cell Rna-Seq Reveals Molecular Signatures Of Heterogeneous Populations Of Human Induced Pluripotent Stem Cell-Derived Endothelial Cells.
GSE117156,MARS-seq,shortread,Human,23954,30523328,12/14/18,Single Cell Dissection Of Plasma Cell Heterogeneity In Symptomatic And Asymptomatic Myeloma.
GSE117218,Unknown,shortread,Human;Chimpanzee,151,30154223,8/30/18,Single-Cell Rna-Sequencing Reveals The Existence Of Naive And Primed Pluripotency In Pre-Implantation Rhesus Monkey Embryos.
GSE117225,Smart-Seq,longread,Mouse,174,30827895,3/5/19,Rate Of Progression Through A Continuum Of Transit-Amplifying Progenitor Cell States Regulates Blood Cell Production.
GSE117228,Smart-Seq,longread,Mouse,89,30827895,3/5/19,Rate Of Progression Through A Continuum Of Transit-Amplifying Progenitor Cell States Regulates Blood Cell Production.
GSE117231,Smart-Seq,longread,Mouse;Human,535,30827895,3/5/19,Rate Of Progression Through A Continuum Of Transit-Amplifying Progenitor Cell States Regulates Blood Cell Production.
GSE117295,Drop-seq,shortread,Mouse,60541,32066983,2/19/20,Spatiotemporal Single-Cell Analysis Of Gene Expression In The Mouse Suprachiasmatic Nucleus.
GSE117403,10X Genomics,shortread,Human,135365,30566875,12/20/18,A Cellular Anatomy Of The Normal Adult Human Prostate And Prostatic Urethra.
GSE117570,10X Genomics,shortread,Human,10830,31033233,4/30/19,Dissecting Intratumoral Myeloid Cell Plasticity By Single Cell Rna-Seq.
GSE117617,CEL-seq,shortread,Human,349,30096152,8/11/18,Scpipe: A Flexible R/Bioconductor Preprocessing Pipeline For Single-Cell Rna-Sequencing Data.
GSE117618,CEL-seq,shortread,Human,352,30096152,8/11/18,Scpipe: A Flexible R/Bioconductor Preprocessing Pipeline For Single-Cell Rna-Sequencing Data.
GSE117790,10X Genomics,shortread,Mouse,4990,31216470,6/20/19,Rational Reprogramming Of Cellular States By Combinatorial Perturbation.
GSE117792,10X Genomics,shortread,Mouse,5454,31216470,6/20/19,Rational Reprogramming Of Cellular States By Combinatorial Perturbation.
GSE117793,10X Genomics,shortread,Mouse,6392,31216470,6/20/19,Rational Reprogramming Of Cellular States By Combinatorial Perturbation.
GSE117794,10X Genomics,shortread,Mouse,4659,31216470,6/20/19,Rational Reprogramming Of Cellular States By Combinatorial Perturbation.
GSE117837,Fluidigm,longread,Human,342,31068579,5/10/19,Single Cell Transcriptomic Analysis Of Human Mesenchymal Stem Cells Reveals Limited Heterogeneity.
GSE117872,Fluidigm,longread,Human,1231,30467425,11/24/18,Longitudinal Single-Cell Rna Sequencing Of Patient-Derived Primary Cells Reveals Drug-Induced Infidelity In Stem Cell Hierarchy.
GSE117988,10X Genomics,shortread,Human,9790,30250229,9/27/18,Acquired Cancer Resistance To Combination Immunotherapy From Transcriptional Loss Of Class I Hla.
GSE118055,10X Genomics,shortread,Mouse,2029,30154153,8/30/18,Transcription Factor Prox1 Suppresses Notch Pathway Activation Via The Nucleosome Remodeling And Deacetylase Complex In Colorectal Cancer Stem-Like Cells.
GSE118068,10X Genomics,shortread,Mouse;Human,59258,31043743,5/3/19,Childhood Cerebellar Tumours Mirror Conserved Fetal Transcriptional Programs.
GSE118127,10X Genomics,shortread,Human,49717,31320652,7/20/19,Single-Cell Reconstruction Of Follicular Remodeling In The Human Adult Ovary.
GSE118184,10X Genomics,shortread,Mouse;Human,150422,30449713,11/20/18,Comparative Analysis And Refinement Of Human Psc-Derived Kidney Organoid Differentiation With Single-Cell Transcriptomics.
GSE118234,Fluidigm,longread,Mouse,1226,32084387,2/23/20,High-Resolution Dissection Of Chemical Reprogramming From Mouse Embryonic Fibroblasts Into Fibrocartilaginous Cells.
GSE118257,10X Genomics,shortread,Mouse;Human,17096,30747918,2/13/19,Altered Human Oligodendrocyte Heterogeneity In Multiple Sclerosis.
GSE118292,10X Genomics,shortread,Mouse,18372,30765463,2/16/19,The Transcription Factor Duxbl Mediates Elimination Of Pre-T Cells That Fail Β-Selection.
GSE118403,Smart-Seq,longread,Mouse,78,32066983,2/19/20,Spatiotemporal Single-Cell Analysis Of Gene Expression In The Mouse Suprachiasmatic Nucleus.
GSE118487,10X Genomics,shortread,Human,6743,32792525,8/15/20,Cellular And Molecular Properties Of Neural Progenitors In The Developing Mammalian Hypothalamus.
GSE118546,10X Genomics,shortread,Mouse;Human,125426,30712875,2/5/19,Molecular Classification And Comparative Taxonomics Of Foveal And Peripheral Cells In Primate Retina.
GSE118704,CEL-seq,shortread,Human,312,30096152,8/11/18,Scpipe: A Flexible R/Bioconductor Preprocessing Pipeline For Single-Cell Rna-Sequencing Data.
GSE118706,CEL-seq,shortread,Human,3562,30096152,8/11/18,Scpipe: A Flexible R/Bioconductor Preprocessing Pipeline For Single-Cell Rna-Sequencing Data.
GSE118734,Smart-Seq,longread,Human,594,30245212,9/25/18,Reproducibility Of Molecular Phenotypes After Long-Term Differentiation To Human Ipsc-Derived Neurons: A Multi-Site Omics Study.
GSE118828,Nextera XT,shortread,Human,1792,30383866,11/2/18,Identification Of Grade And Origin Specific Cell Populations In Serous Epithelial Ovarian Cancer By Single Cell Rna-Seq.
GSE118852,10X Genomics,shortread,Mouse;Human,97549,30712875,2/5/19,Molecular Classification And Comparative Taxonomics Of Foveal And Peripheral Cells In Primate Retina.
GSE118953,Fluidigm,longread,Mouse,2542,31073041,5/11/19,Temporal Patterning Of Apical Progenitors And Their Daughter Neurons In The Developing Neocortex.
GSE119352,10X Genomics,shortread,Mouse,14066,30445041,11/18/18,High-Dimensional Analysis Delineates Myeloid And Lymphoid Compartment Remodeling During Successful Immune-Checkpoint Cancer Therapy.
GSE119373,10X Genomics,shortread,Human,2896,30397350,11/7/18,Human retinoic acid-regulated CD161 + regulatory T cells support wound repair in intestinal mucosa
GSE119455,Fluidigm,longread,Human,893,30463022,11/22/18,"Single-Cell Transcriptome Analysis Reveals Estrogen Signaling Coordinately Augments One-Carbon, Polyamine, And Purine Synthesis In Breast Cancer."
GSE119506,10X Genomics,shortread,Human,1616,31072818,5/11/19,Human Lymphoid Organ Cdc2 And Macrophages Play Complementary Roles In T Follicular Helper Responses.
GSE119507,10X Genomics,shortread,Human,3993,31072818,5/11/19,Human Lymphoid Organ Cdc2 And Macrophages Play Complementary Roles In T Follicular Helper Responses.
GSE119531,10X Genomics,shortread,Mouse,8583,30510133,12/5/18,Advantages Of Single-Nucleus Over Single-Cell Rna Sequencing Of Adult Kidney: Rare Cell Types And Novel Cell States Revealed In Fibrosis.
GSE119766,Fluidigm,longread,Mouse,614,30893600,3/21/19,Dissecting Cell Lineage Specification And Sex Fate Determination In Gonadal Somatic Cells Using Single-Cell Transcriptomics.
GSE119893,Fluidigm,longread,Human,1861,30548510,12/15/18,Deconstructing Retinal Organoids: Single Cell Rna-Seq Reveals The Cellular Components Of Human Pluripotent Stem Cell-Derived Retina.
GSE119926,Smart-Seq,longread,Human,7467,31341285,7/26/19,Resolving Medulloblastoma Cellular Architecture By Single-Cell Genomics.
GSE119945,sci-RNA-seq3,shortread,Mouse;Human,1967482,30787437,2/23/19,The Single-Cell Transcriptional Landscape Of Mammalian Organogenesis.
GSE120046,Unknown,shortread,Mouse;Human,13252,32923614,9/15/20,Single-Cell Transcriptome Analysis Reveals Cell Lineage Specification In Temporal-Spatial Patterns In Human Cortical Development.
GSE120064,Nextera XT,shortread,Mouse,846,32098504,2/27/20,Single-Cell Reconstruction Of Progression Trajectory Reveals Intervention Principles In Pathological Cardiac Hypertrophy.
GSE120372,10X Genomics,shortread,Mouse,9265,30735127,2/9/19,Specification Of Diverse Cell Types During Early Neurogenesis Of The Mouse Cerebellum.
GSE120410,10X Genomics,shortread,Mouse,12473,30335147,10/20/18,Single-Cell Rna Sequencing Reveals Novel Markers Of Male Pituitary Stem Cells And Hormone-Producing Cell Types.
GSE120506,10X Genomics,shortread,Human,1217,30315278,10/14/18,The Adult Human Testis Transcriptional Cell Atlas.
GSE120508,10X Genomics,shortread,Human,6110,31950241,1/18/20,Evaluating Genetic Causes Of Azoospermia: What Can We Learn From A Complex Cellular Structure And Single-Cell Transcriptomics Of The Human Testis?
GSE120575,Smart-Seq,longread,Human,15230,30633907,1/12/19,Defining T Cell States Associated With Response To Checkpoint Immunotherapy In Melanoma.
GSE120629,Fluidigm,longread,Mouse,414,30760929,2/15/19,Spatial And Temporal Heterogeneity Of Mouse And Human Microglia At Single-Cell Resolution.
GSE120716,10X Genomics,shortread,Human,30904,30566875,12/20/18,A Cellular Anatomy Of The Normal Adult Human Prostate And Prostatic Urethra.
GSE120744,Smart-Seq,longread,Mouse,1627,30760929,2/15/19,Spatial And Temporal Heterogeneity Of Mouse And Human Microglia At Single-Cell Resolution.
GSE120745,Smart-Seq,longread,Mouse,2268,30760929,2/15/19,Spatial And Temporal Heterogeneity Of Mouse And Human Microglia At Single-Cell Resolution.
GSE120909,Fluidigm,longread,Mouse,1732,30389797,11/6/18,
GSE120960,10X Genomics,shortread,Mouse,6076,30655503,1/19/19,Setd5 Haploinsufficiency Alters Neuronal Network Connectivity And Leads To Autistic-Like Behaviors In Mice.
GSE120966,10X Genomics,shortread,Mouse,7208,31474569,9/3/19,Single-Cell Transcriptomics In Medulloblastoma Reveals Tumor-Initiating Progenitors And Oncogenic Cascades During Tumorigenesis And Relapse.
GSE120974,10X Genomics,shortread,Mouse,7208,31474569,9/3/19,Single-Cell Transcriptomics In Medulloblastoma Reveals Tumor-Initiating Progenitors And Oncogenic Cascades During Tumorigenesis And Relapse.
GSE121069,Smart-Seq,longread,Mouse;Human,50,30540963,12/13/18,Axon-Seq Decodes The Motor Axon Transcriptome And Its Modulation In Response To Als.
GSE121265,Fluidigm,longread,Human,1386,32312741,4/22/20,Characterizing And Inferring Quantitative Cell Cycle Phase In Single-Cell Rna-Seq Data Analysis.
GSE121380,10X Genomics,shortread,Human,43212,31730855,11/16/19,Mucosal Profiling Of Pediatric-Onset Colitis And Ibd Reveals Common Pathogenics And Therapeutic Pathways.
GSE121393,Nextera XT,longread,Mouse;Human,5941,30575716,12/24/18,Molecular And Functional Heterogeneity Of Il-10-Producing Cd4
GSE121579,Fluidigm,longread,Human,60,30503262,12/7/18,"Transcription Factor Levels After Forward Programming Of Human Pluripotent Stem Cells With Gata1, Fli1, And Tal1 Determine Megakaryocyte Versus Erythroid Cell Fate Decision."
GSE121650,Smart-Seq,longread,Mouse,702,31827285,12/13/19,Multi-Omics Profiling Of Mouse Gastrulation At Single-Cell Resolution.
GSE121654,10X Genomics,shortread,Mouse,105725,30471926,11/26/18,Single-Cell Rna Sequencing Of Microglia Throughout The Mouse Lifespan And In The Injured Brain Reveals Complex Cell-State Changes.
GSE121862,Nextera XT,shortread,Human,16180,31249312,6/30/19,A Single-Nucleus Rna-Sequencing Pipeline To Decipher The Molecular Anatomy And Pathophysiology Of Human Kidneys.
GSE121891,10X Genomics,shortread,Mouse,40804,30517858,12/6/18,Single-Cell Rna-Seq Of Mouse Olfactory Bulb Reveals Cellular Heterogeneity And Activity-Dependent Molecular Census Of Adult-Born Neurons.
GSE121893,Nextera XT,shortread,Human,4778,31915373,1/10/20,Single-Cell Reconstruction Of The Adult Human Heart During Heart Failure And Recovery Reveals The Cellular Landscape Underlying Cardiac Function.
GSE121904,10X Genomics,shortread,Mouse,15150,30893341,3/21/19,Dynamic Transcriptome Profiles Within Spermatogonial And Spermatocyte Populations During Postnatal Testis Maturation Revealed By Single-Cell Sequencing.
GSE121937,CEL-seq,shortread,Mouse,2183,31804471,12/6/19,Heterogeneity And Dynamics Of Active Kras-Induced Dysplastic Lineages From Mouse Corpus Stomach.
GSE121940,CEL-seq,shortread,Mouse,5438,31804471,12/6/19,Heterogeneity And Dynamics Of Active Kras-Induced Dysplastic Lineages From Mouse Corpus Stomach.
GSE121957,Fluidigm,longread,Mouse,546,30418965,11/13/18,Single-Cell Rna-Sequencing Reveals Transcriptional Dynamics Of Estrogen-Induced Dysplasia In The Ovarian Surface Epithelium.
